serial,name,value,notes
37-12584,CC_a0,-1.338544e-04,source_file CTDMO-S_SBE_37IM_SN_37-12584_Calibration_Files_2026-06-10.zip > 12584.cal
37-12584,CC_a1,3.122535e-04,
37-12584,CC_a2,-4.824614e-06,
37-12584,CC_a3,2.114120e-07,
37-12584,CC_g,-9.659882e-01,
37-12584,CC_h,1.514931e-01,
37-12584,CC_i,-1.265723e-04,
37-12584,CC_j,3.380848e-05,
37-12584,CC_ctcor,3.250000e-06,
37-12584,CC_cpcor,-9.570000e-08,
37-12584,CC_wbotc,2.639135e-07,
37-12584,CC_pa0,4.895744e-03,
37-12584,CC_pa1,5.183928e-04,
37-12584,CC_pa2,-2.843184e-12,
37-12584,CC_ptca0,5.248663e+05,
37-12584,CC_ptca1,1.406350e+00,
37-12584,CC_ptca2,-4.604744e-02,
37-12584,CC_ptcb0,2.500088e+01,
37-12584,CC_ptcb1,-1.025000e-03,
37-12584,CC_ptcb2,0.000000e+00,
37-12584,CC_ptempa0,-7.400355e+01,
37-12584,CC_ptempa1,4.962793e-02,
37-12584,CC_ptempa2,-2.527493e-07,
37-12584,CC_p_range,160,
