Array,Platform,Node,Instrument,RefDes,Asset ID,Serial Number,deployment,gitHub changeDate,file,URL,changeType,dateRangeStart,dateRangeEnd,annotation
Coastal Pioneer NES,Upstream Inshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUI-WFP01-04-FLORTK000,CGINS-FLORTK-00830,BBFL2-830,2,-9999999,CGINS-FLORTK-00830__20110405.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20110405.csv,Calibration coefficients were modified,2014-04-12 16:42,2014-10-09 11:58,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUI-WFP01-04-FLORTK000) were incorrect for all of deployment 2 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 2 for the time range 2014-04-12 16:42 to 2014-10-09 11:58 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20110405.csv.
Coastal Pioneer NES,Upstream Inshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUI-WFP01-04-FLORTK000,CGINS-FLORTK-00830,BBFL2-830,4,-9999999,CGINS-FLORTK-00830__20150211.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20150211.csv,Calibration coefficients were modified,2015-05-02 00:09,2015-05-03 10:03,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUI-WFP01-04-FLORTK000) were incorrect for all of deployment 4 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 4 for the time range 2015-05-02 00:09 to 2015-05-03 10:03 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20150211.csv.
Coastal Pioneer NES,Upstream Inshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUI-WFP01-04-FLORTK000,CGINS-FLORTK-00830,BBFL2-830,8,-9999999,CGINS-FLORTK-00830__20160715.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20160715.csv,Calibration coefficients were modified,2016-10-04 13:55,2017-06-18 12:07,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUI-WFP01-04-FLORTK000) were incorrect for all of deployment 8 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 8 for the time range 2016-10-04 13:55 to 2017-06-18 12:07 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20160715.csv.
Coastal Pioneer NES,Upstream Inshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUI-WFP01-04-FLORTK000,CGINS-FLORTK-00830,BBFL2-830,10,-9999999,CGINS-FLORTK-00830__20170726.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20170726.csv,Calibration coefficients were modified,2017-11-09 17:03,2018-04-11 21:49,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUI-WFP01-04-FLORTK000) were incorrect for all of deployment 10 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 10 for the time range 2017-11-09 17:03 to 2018-04-11 21:49 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20170726.csv.
Coastal Pioneer NES,Upstream Inshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUI-WFP01-04-FLORTK000,CGINS-FLORTK-00830,BBFL2-830,12,-9999999,CGINS-FLORTK-00830__20180628.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20180628.csv,Calibration coefficients were modified,2018-11-04 16:43,2019-04-19 00:35,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUI-WFP01-04-FLORTK000) were incorrect for all of deployment 12 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 12 for the time range 2018-11-04 16:43 to 2019-04-19 00:35 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20180628.csv.
Coastal Pioneer NES,Upstream Inshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUI-WFP01-04-FLORTK000,CGINS-FLORTK-00830,BBFL2-830,14,-9999999,CGINS-FLORTK-00830__20190617.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20190617.csv,Calibration coefficients were modified,2019-10-06 18:27,2020-06-13 16:02,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUI-WFP01-04-FLORTK000) were incorrect for all of deployment 14 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 14 for the time range 2019-10-06 18:27 to 2020-06-13 16:02 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20190617.csv.
Coastal Pioneer NES,Upstream Inshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUI-WFP01-04-FLORTK000,CGINS-FLORTK-00830,BBFL2-830,16,-9999999,CGINS-FLORTK-00830__20200724.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20200724.csv,Calibration coefficients were modified,2021-04-12 13:49,2022-04-25 15:56,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUI-WFP01-04-FLORTK000) were incorrect for all of deployment 16 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 16 for the time range 2021-04-12 13:49 to 2022-04-25 15:56 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00830__20200724.csv.
Coastal Pioneer NES,Upstream Offshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP02PMUO-WFP01-04-FLORTK000,CGINS-FLORTK-00969,BBFL2-969,1,-9999999,CGINS-FLORTK-00969__20120717.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00969__20120717.csv,Calibration coefficients were modified,2013-11-23 15:50,2013-11-25 17:09,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP02PMUO-WFP01-04-FLORTK000) were incorrect for all of deployment 1 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 1 for the time range 2013-11-23 15:50 to 2013-11-25 17:09 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00969__20120717.csv.
Coastal Pioneer NES,Offshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP04OSPM-WFP01-04-FLORTK000,CGINS-FLORTK-00969,BBFL2-969,2,-9999999,CGINS-FLORTK-00969__20140814.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00969__20140814.csv,Calibration coefficients were modified,2014-10-04 20:04,2015-04-29 13:16,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP04OSPM-WFP01-04-FLORTK000) were incorrect for all of deployment 2 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 2 for the time range 2014-10-04 20:04 to 2015-04-29 13:16 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00969__20140814.csv.
Coastal Pioneer NES,Offshore Profiler Mooring,Wire-Following Profiler,3-Wavelength Fluorometer: FLORT Series K,CP04OSPM-WFP01-04-FLORTK000,CGINS-FLORTK-00969,BBFL2-969,4,-9999999,CGINS-FLORTK-00969__20150818.csv,https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00969__20150818.csv,Calibration coefficients were modified,2015-10-12 19:11,2016-05-19 12:09,MODIFIED COEFFICIENT: A metadata review found that the CDOM calibration values for the sensor (CP04OSPM-WFP01-04-FLORTK000) were incorrect for all of deployment 4 due to biased primary and secondary calibration standards which would result in delivery of incorrect L1 or L2 derived values during that time range. The erroneous calibration values have now been entered and verified as of XXXX. All derived L1 and L2 values generated prior to the annotation date for deployment 4 for the time range 2015-10-12 19:11 to 2016-05-19 12:09 should be re-requested in order to ensure utilization of correct calibration values. The updated values can be viewed at https://github.com/ooi-integration/asset-management/blob/master/calibration/FLORTK/CGINS-FLORTK-00969__20150818.csv.
